"Nugraha, Andri D.",2,2,b,b,21,15,Geosciences
"Muhari, Abdul",3,3,b,b,21,15,Geosciences
"Rusdin, Andi Azhar",4,4,b,b,21,15,Geosciences
"Rosalia, Shindy",5,5,b,b,21,15,Geosciences
"Priyono, Awali",6,6,b,c,21,15,Geosciences
"Zulfakriza, Z.",7,7,b,c,21,15,Geosciences
"Widiyantoro, Sri",8,8,c,c,21,15,Geosciences
"Lesmana, Aditya",10,9,c,c,21,15,Geosciences
"Kusumawati, Dian",11,10,c,d,21,15,Geosciences
"Ardianto, A.",12,11,c,d,21,15,Geosciences
"Baskara, Aria Widhi",13,12,c,d,21,15,Geosciences
"Halauwet, Yehezkiel",14,13,d,d,21,15,Geosciences
"Shiddiqi, Hasbi Ash",15,14,d,d,21,15,Geosciences
"Puspito, Nanang T.",21,15,l,l,21,15,Geosciences
"Zhang, Yang",1,1,a,a,9,9,Biological sciences
"Guo, Zhengguang",2,2,b,b,9,9,Biological sciences
"Zou, Lili",3,3,b,b,9,9,Biological sciences
"Yang, Yehong",4,4,c,c,9,9,Biological sciences
"Zhang, Liwei",5,5,c,c,9,9,Biological sciences
"Ji, Nan",6,6,d,d,9,9,Biological sciences
"Shao, Chen",7,7,d,d,9,9,Biological sciences
"Sun, Wei",8,9,d,l,9,9,Biological sciences
"Wang, Yajie",9,8,l,d,9,9,Biological sciences
"Montandon, Carlos Emmanuel",1,1,a,a,8,8,Biological sciences
"Barros, Edvaldo",2,2,b,b,8,8,Biological sciences
"Vidigal, Pedro Marcus",3,3,b,b,8,8,Biological sciences
"Mendes, Maria Tays",4,4,c,c,8,8,Biological sciences
"Anhê, Ana Carolina Borella Marfil",5,5,c,c,8,8,Biological sciences
"De Oliveira Ramos, Humberto Josué",6,6,d,d,8,8,Biological sciences
"De Oliveira, Carlo José Freire",7,7,d,d,8,8,Biological sciences
"Luo, Lin",1,1,a,a,8,8,Medical sciences
"Chen, Yeru",2,2,b,b,8,8,Medical sciences
"Wu, Deqi",3,3,b,b,8,8,Medical sciences
"Shou, Jiafeng",4,4,c,c,8,8,Medical sciences
"Wang, Shengcun",5,5,c,c,8,8,Medical sciences
"Ye, Jie",6,6,d,d,8,8,Medical sciences
"Tang, Xiuwen",7,7,d,d,8,8,Medical sciences
"Khoury, Colin K.",1,1,a,a,16,11,Geosciences
"Amariles, Daniel",2,2,b,b,16,11,Geosciences
"Soto, Jonatan Stivens",3,3,b,b,16,11,Geosciences
"Diaz, Maria Victoria",4,4,b,b,16,11,Geosciences
"Sotelo, Steven",5,5,b,c,16,11,Geosciences
"Sosa, Chrystian C.",6,6,c,c,16,11,Geosciences
"Ramírez-Villegas, Julian",7,7,c,c,16,11,Geosciences
"Achicanoy, Harold A.",8,8,c,d,16,11,Geosciences
"León, Blanca",10,9,c,d,16,11,Geosciences
"Castañeda-Álvarez, Nora P.",12,11,d,l,16,11,Geosciences
"Wiersema, John H.",14,10,d,d,16,11,Geosciences
"Sfifou, Fatima",1,1,a,a,9,9,Medical sciences
"Ouzir, Mounir",2,2,b,b,9,9,Medical sciences
"Hakkou, El Mehdi",3,3,b,b,9,9,Medical sciences
"Obtel, Majdouline",4,4,c,c,9,9,Medical sciences
"Errihani, Hassan",5,5,c,c,9,9,Medical sciences
"Bouzidi, Abderrahmane Al",6,6,d,d,9,9,Medical sciences
"Abouqal, Redouane",7,7,d,d,9,9,Medical sciences
"Cherradi, Nadia",9,9,l,l,9,9,Medical sciences
"Carass, Aaron",1,1,a,a,46,15,Medical sciences
"Roy, Snehashis",2,2,b,b,46,15,Medical sciences
"Jog, Amod",3,3,b,b,46,15,Medical sciences
"Cuzzocreo, Jennifer L.",4,4,b,b,46,15,Medical sciences
"Magrath, Elizabeth",5,5,b,b,46,15,Medical sciences
"Gherman, Adrian",6,6,b,c,46,15,Medical sciences
"Button, Julia",7,7,b,c,46,15,Medical sciences
"Nguyen, James",8,8,b,c,46,15,Medical sciences
"Bazin, Pierre-Louis",39,15,d,l,46,15,Medical sciences
"Calabresi, Peter A.",40,9,d,c,46,15,Medical sciences
"Crainiceanu, Ciprian M.",41,10,d,d,46,15,Medical sciences
"Ellingsen, Lotta M.",42,11,d,d,46,15,Medical sciences
